t,pwr
2782.6,67.33190082644622
2782.7,67.36
2782.8,67.36
2782.9,67.36
2783.0,67.36
2783.1,67.38700854700852
2783.2,67.3728070175439
2783.3,67.40379310344854
2783.4,67.4590163934425
2783.5,67.39677419354832
2783.6,67.3645161290323
2783.7,67.32293103448285
2783.8,67.35590163934442
2783.9,67.37847999999994
2784.0,67.35057377049176
2784.1,67.31040983606547
2784.2,67.35139344262286
2784.3,67.36
2784.4,67.37948717948723
2784.5,67.38677685950415
2784.6,67.35188034188042
2784.7,67.31
2784.8,67.31
2784.9,67.31
2785.0,67.32721739130433
2785.1,67.21794871794908
2785.2,67.14793103448187
2785.3,67.34474576271184
2785.4,67.26
2785.5,67.34264462809904
2785.6,67.36
2785.7,67.33708333333338
2785.8,67.28499999999983
2785.9,67.22371900826447
2786.0,67.26504132231398
2786.1,67.26272727272728
2786.2,67.28745901639338
2786.3,67.23254098360633
2786.4,67.09220338983046
2786.5,67.0564285714285
2786.6,66.98500000000011
2786.7,67.13322314049516
2786.8,67.14868852459007
2786.9,67.08538461538461
2787.0,67.10872881355945
2787.1,67.04965065502192
2787.2,67.01471615720533
2787.3,66.97978165938858
2787.4,67.03260869565214
2787.5,67.02
2787.6,67.00225
2787.7,67.06183999999998
2787.8,67.06984
2787.9,67.07
2788.0,67.03942148760329
2788.1,66.99809917355378
2788.2,66.98322314049572
2788.3,67.02376068376068
2788.4,67.05794871794876
2788.5,67.02758620689653
2788.6,67.02
2788.7,66.99300884955761
2788.8,66.97820512820515
2788.9,67.01939655172409
2789.0,67.1
2789.1,67.1
2789.2,67.1
2789.3,67.04536585365837
2789.4,67.01483050847456
2789.5,67.01
2789.6,67.0187499999999
2789.7,67.05966942148768
2789.8,67.02661157024792
2789.9,67.02
2790.0,67.02
2790.1,67.02
2790.2,67.02403361344528
2790.3,67.04924369747906
2790.4,67.05
2790.5,67.03115702479339
2790.6,67.02
2790.7,67.02
2790.8,66.93172413792809
2790.9,65.82827586206689
2791.0,66.752000000002
2791.1,67.03495652173913
2791.2,66.90600000000032
2791.3,66.79193548387103
2791.4,66.81580645161291
2791.5,66.78354838709677
2791.6,66.8106896551724
2791.7,66.81381355932204
2791.8,66.795652173913
2791.9,66.8324590163934
2792.0,66.96360655737689
2792.1,66.94271186440702
2792.2,66.84655172413801
2792.3,66.82
2792.4,66.82
2792.5,66.78754098360659
2792.6,66.78
2792.7,66.79374999999997
2792.8,66.81299145299147
2792.9,66.82
2793.0,66.82
2793.1,66.77775862068967
2793.2,66.77719298245613
2793.3,66.8022950819673
2793.4,66.81613445378149
2793.5,66.81
2793.6,66.80384615384615
2793.7,66.73547008547027
2793.8,66.80137931034491
2793.9,66.79356521739125
2794.0,66.78
2794.1,66.80554621848738
2794.2,66.85037974683554
2794.3,66.79974683544293
2794.4,66.78
2794.5,66.79149999999997
2794.6,66.81
2794.7,66.81033898305084
2794.8,66.81881355932205
2794.9,66.79203252032514
2795.0,66.78
2795.1,66.78
2795.2,66.78
2795.3,66.78
2795.4,66.83818965517264
2795.5,66.82611570247923
2795.6,66.77680672268907
2795.7,66.77165217391303
2795.8,66.78
2795.9,66.78
2796.0,66.80139130434783
2796.1,66.81572649572648
2796.2,66.83724137931024
2796.3,66.43216666666495
2796.4,65.51534482758768
2796.5,66.69637931034538
2796.6,66.7971653543307
2796.7,66.79530434782616
2796.8,66.7993103448276
2796.9,66.78842105263162
2797.0,66.74747899159658
2797.1,66.81
2797.2,66.81
2797.3,66.67338842975168
2797.4,66.69830508474581
2797.5,66.74330434782614
2797.6,66.73736842105258
2797.7,66.73974576271232
2797.8,66.53208333333376
2797.9,66.74041666666709
2798.0,66.57750000000026
2798.1,66.53213675213661
2798.2,66.63789473684191
2798.3,66.69086956521721
2798.4,66.59859504132221
2798.5,66.72256198347124
2798.6,66.61719999999994
2798.7,66.71354838709642
2798.8,66.71214876033048
2798.9,66.5379338842975
2799.0,66.56901639344257
2799.1,66.53622950819678
2799.2,66.53692307692307
2799.3,66.50631578947353
2799.4,66.50521008403368
2799.5,66.54
2799.6,66.54344262295085
2799.7,66.56803278688518
2799.8,66.57
2799.9,66.55336134453778
2800.0,66.5322950819672
2800.1,66.50966942148757
2800.2,66.47227642276417
2800.3,66.52918699187005
2800.4,66.53319327731093
2800.5,66.48310924369743
2800.6,66.45470085470087
2800.7,66.45947368421066
2800.8,66.39900000000014
2800.9,66.47400000000015
2801.0,66.47239669421488
2801.1,66.4526829268293
2801.2,66.44
2801.3,66.43798387096773
2801.4,66.43008196721314
2801.5,66.43827868852458
2801.6,66.46747826086953
2801.7,66.47443478260872
2801.8,66.4573275862069
2801.9,66.46181818181817
2802.0,66.51508196721305
2802.1,66.47409836065582
2802.2,66.44768595041332
2802.3,66.43434426229508
2802.4,66.43382113821139
2802.5,66.4054237288137
2802.6,66.28041322314024
2802.7,66.45396694214821
2802.8,66.45404580152668
2802.9,66.44
2803.0,66.42629032258063
2803.1,66.39413223140487
2803.2,66.43545454545455
2803.3,66.44
2803.4,66.41276422764228
2803.5,66.31300000000016
2803.6,66.22165289256176
2803.7,66.39
2803.8,66.39
2803.9,66.42620689655185
2804.0,66.44
2804.1,66.41750000000003
2804.2,66.40465517241364
2804.3,66.4341176470588
2804.4,66.4014379084967
2804.5,66.43444444444441
2804.6,66.43878048780503
2804.7,66.35487603305826
2804.8,66.21728813559298
2804.9,66.14949152542378
2805.0,66.35499999999996
2805.1,66.32578512396707
2805.2,66.19581196581187
2805.3,66.22130434782608
2805.4,66.18
2805.5,66.18
2805.6,66.37283333333339
2805.7,66.29532258064555
2805.8,66.19512605042024
2805.9,66.24725806451639
2806.0,66.34777777777782
